age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
32,1,3,27571.5,1,0,1,0,1,1,0
20,0,0,13740,0,2,1,1,1,1,0
64,0,0,52670.6,1,2,0,1,1,1,1
50,1,0,13283.9,0,1,1,1,1,0,1
29,0,0,13106.6,0,2,0,1,1,1,1
52,0,0,39547.8,0,2,1,0,1,0,1
47,1,1,17867.3,1,2,1,1,0,0,0
24,0,3,14309.7,0,2,1,1,0,0,0
36,0,3,23894.8,1,0,0,0,0,0,0
43,0,3,16259.7,1,1,0,1,1,0,1
48,0,2,29794.1,0,1,0,1,1,0,1
63,0,3,56842.5,1,0,0,1,1,1,0
52,1,1,47835.8,0,3,0,1,0,0,1
58,1,0,24977.5,0,0,0,0,1,0,1
28,0,0,23124.9,1,0,0,1,1,0,1
29,1,0,15143.8,1,0,0,0,1,0,0
34,0,0,25334.3,0,1,1,1,1,1,1
42,1,0,24763.3,1,1,0,1,1,1,1
65,1,0,36589,0,1,1,0,1,0,1
47,0,0,27022.6,1,2,0,1,1,0,0
20,0,0,11700.4,1,0,0,1,0,0,0
21,0,3,5014.21,0,0,1,1,1,1,0
42,0,0,17390.1,1,0,0,1,1,0,0
19,0,3,10861,0,2,0,1,1,0,0
41,1,3,34892.9,0,0,0,1,1,1,0
30,0,3,19403.1,0,2,0,1,1,0,0
31,1,1,10441.9,1,2,0,0,1,0,1
25,0,0,14064.9,1,3,1,1,1,0,0
21,0,0,8062.73,0,0,0,0,1,0,1
36,0,0,31982,1,3,1,1,1,1,1
58,1,0,23197.5,1,2,0,1,0,1,0
64,1,0,52674,0,2,1,1,1,0,1
59,1,1,35610.5,0,2,1,0,0,0,1
45,1,3,26948,0,0,0,1,1,1,0
61,0,0,49456.7,1,1,1,1,1,1,1
30,1,0,14724.5,1,0,1,0,1,0,0
58,1,3,34524.9,1,2,1,1,0,0,1
50,1,3,22052.1,0,3,0,1,1,0,1
30,0,0,27808.1,0,3,0,0,1,0,0
29,1,0,12591.4,1,1,0,1,1,0,0
35,0,0,16394.4,1,1,0,1,1,0,1
62,0,0,24026.1,1,0,0,0,1,1,1
36,0,0,31683.1,1,1,1,1,1,0,1
25,1,0,15525,1,0,0,1,1,0,0
66,1,3,22562.2,0,0,1,1,1,1,0
30,0,2,15848.7,1,0,1,1,0,1,0
54,1,0,31095.6,1,2,0,0,1,0,1
37,0,3,24814.5,1,1,1,0,1,1,1
28,1,0,25429.3,0,2,0,1,1,1,0
53,1,1,34866.5,0,0,0,0,1,0,1
61,0,0,42579.1,1,2,1,1,1,0,0
61,1,0,41127.4,1,0,1,1,0,0,0
18,1,0,9990.11,1,0,0,1,1,0,0
22,0,0,7948.62,1,1,0,0,0,1,0
34,0,3,30870.8,1,2,1,1,1,1,1
35,1,0,12125.8,0,2,0,1,1,0,0
18,1,1,15348.9,1,0,1,0,1,0,0
54,0,0,26707.9,1,1,0,1,1,1,1
27,1,0,11604.4,1,2,1,1,1,0,0
42,0,0,15499.9,1,0,1,0,1,1,1
43,0,3,33088.5,0,0,0,1,1,1,0
64,1,0,34513.6,1,1,0,1,1,0,1
43,0,3,32395.5,1,3,1,1,1,0,0
49,0,1,46633,1,0,1,1,0,0,0
23,0,0,13039.9,1,0,0,0,1,0,0
23,0,0,12681.9,0,0,0,1,1,0,1
30,1,0,24031.5,1,2,1,1,1,1,0
36,0,3,37330.5,0,2,0,1,1,0,1
34,0,0,25333.2,1,3,1,0,0,1,0
51,1,0,37094.2,1,0,1,0,1,0,0
36,0,3,33630.6,0,2,1,1,1,0,1
56,0,0,43228.2,1,1,1,1,1,0,1
54,1,0,47796.8,1,0,0,1,1,0,0
56,1,3,21730.3,1,2,0,1,0,0,0
26,0,0,10044.1,1,3,0,1,1,1,0
39,0,3,17270.1,0,0,1,0,0,0,1
64,1,1,45765,1,3,1,1,1,0,1
46,0,1,29525.5,0,2,0,1,0,1,0
62,1,1,54863.8,1,1,1,1,1,0,1
36,1,3,20799,1,1,0,1,0,1,1
35,1,1,33028.3,0,1,0,1,1,0,1
47,0,1,45031.9,0,3,1,1,0,0,1
47,0,0,39010.8,1,2,0,0,1,0,1
37,1,3,25257.7,1,0,1,1,1,0,0
48,1,0,42603.9,1,0,0,1,1,0,0
41,0,3,14092.7,1,3,1,1,1,0,0
27,1,1,21350.3,0,0,1,1,1,0,1
43,0,0,23246.4,0,2,0,0,1,0,0
61,0,1,41609.5,1,3,0,1,1,1,0
52,1,2,16716.1,0,2,1,1,1,0,0
64,1,2,36436.4,1,0,1,0,1,0,0
66,1,3,59503.8,1,2,1,1,1,1,1
53,1,3,31334.8,1,1,1,1,1,0,1
20,1,0,14048.9,1,2,1,0,1,1,0
57,1,0,39205.3,0,0,0,1,1,0,1
65,1,1,42173.9,1,0,0,1,1,0,0
64,1,0,55263,0,1,0,1,1,0,1
52,0,0,37095.2,1,3,0,1,1,0,0
47,1,0,22791.4,1,0,0,0,1,0,0
28,1,3,17240.6,1,1,1,0,0,1,0
64,0,3,48974.8,1,0,1,1,1,1,0
25,0,0,18923,1,1,0,1,1,0,1
58,0,2,51204.2,1,0,0,1,0,1,1
34,0,3,20236.2,1,2,1,0,1,0,0
20,1,0,18860.3,0,2,0,1,1,0,0
63,0,1,25732.5,1,0,1,1,0,0,0
30,1,2,28240.4,1,3,1,1,1,0,0
53,0,1,28193.6,1,1,1,1,1,0,1
43,0,3,36432.8,0,2,1,0,1,0,1
63,0,3,54618.8,1,2,0,1,0,1,1
33,0,0,24760.8,1,1,0,1,1,1,1
41,0,1,23356.1,0,2,1,0,0,0,0
20,1,2,8143.75,1,2,0,1,1,0,1
50,0,3,26462.5,1,0,1,1,1,0,0
24,0,1,20467.3,1,2,1,1,1,0,0
60,1,3,21506.2,1,0,0,0,1,0,1
44,1,3,15315.3,1,1,0,1,1,0,1
23,0,0,18875.7,1,2,1,1,1,0,0
40,1,0,12977.2,1,0,0,0,0,0,0
49,1,3,20708.5,0,3,0,0,1,0,0
21,1,3,7549.38,0,1,1,0,1,0,0
40,1,0,24904,1,0,0,0,0,0,0
26,0,1,24071.8,1,1,0,0,1,1,1
20,0,3,9589.91,0,1,0,1,1,1,0
24,0,0,8562.86,0,1,0,0,0,1,0
37,1,3,26707.5,0,0,1,1,1,0,0
56,0,0,34020.5,1,0,0,0,1,0,0
52,0,0,49175.7,1,0,1,1,1,0,0
22,0,0,19726.3,1,2,0,0,1,0,0
35,0,0,24346.6,1,3,1,1,1,0,0
34,0,1,26999.4,1,1,1,1,1,0,1
67,1,3,41558.1,1,2,0,1,1,0,1
58,1,0,56340.3,0,0,0,1,1,0,1
40,0,3,37558.5,1,0,1,1,1,0,0
41,1,0,30099.3,1,0,1,1,1,1,1
43,0,0,15254.8,1,0,0,0,0,0,1
63,0,0,36086.1,1,2,0,0,1,0,1
22,1,0,17655,1,1,0,1,1,1,1
60,0,1,56658.9,0,0,0,1,1,0,1
65,1,0,37706.5,0,0,1,1,1,1,0
48,1,0,18516,1,2,1,1,1,1,0
38,1,0,29622,0,0,1,1,0,1,0
49,0,1,32669.9,1,1,1,1,1,1,1
20,1,0,18275.5,1,0,0,0,0,1,1
48,1,3,34410,1,1,0,0,1,0,1
38,0,0,34866.9,1,2,1,0,1,1,0
41,1,0,21796.6,1,0,0,0,1,0,0
67,1,2,63130.1,1,2,1,1,1,0,1
39,0,0,14996.4,1,1,1,1,0,0,0
64,1,1,49024.9,1,3,0,1,1,0,1
41,0,0,16249.8,1,0,1,0,1,1,1
55,0,2,36192.1,1,2,1,0,1,0,1
52,0,0,17839.9,1,1,0,1,0,1,1
30,1,0,18802.4,0,0,0,0,1,1,1
52,0,0,48720.3,1,2,1,1,1,0,1
26,0,0,14585.9,0,2,0,0,1,1,0
26,1,0,20819,1,0,0,1,1,0,1
46,0,3,26077.8,1,1,1,1,1,0,1
46,1,3,41627.1,1,0,0,1,1,1,0
52,0,0,16977.3,1,0,0,0,1,0,0
37,0,0,19012.8,0,3,1,0,1,0,0
22,0,0,12764.8,1,1,0,1,1,1,1
18,0,0,14388.6,0,0,1,0,1,1,1
63,0,0,59409.1,0,0,1,1,1,0,1
25,1,0,14960.2,1,0,0,1,1,1,0
67,0,0,39666.6,1,0,1,1,1,0,0
27,0,0,20771.9,0,0,0,1,0,0,1
61,0,0,24474.1,0,0,1,0,0,0,1
58,0,3,33123.7,1,1,1,1,1,0,1
22,0,0,14433.4,1,0,1,1,1,0,1
28,0,3,13175.5,0,1,0,0,1,0,1
23,0,0,9824.37,1,0,0,1,1,0,0
27,0,2,17610.3,1,0,0,1,1,0,0
27,1,2,15156.2,1,0,1,0,1,0,0
40,1,0,31774.1,1,3,1,1,1,1,0
39,0,3,31693.5,0,0,1,1,0,0,1
35,1,0,28598.7,1,0,1,1,1,0,0
37,1,0,26261.7,0,2,1,0,0,0,0
47,0,0,42124.1,1,2,0,1,1,0,1
42,1,0,39308.7,1,1,0,1,1,0,1
67,1,0,43530,1,0,0,1,1,1,0
57,0,1,49874.4,1,3,0,1,1,0,1
47,1,1,27434.8,0,0,1,1,1,0,1
67,0,0,50474.6,1,2,1,1,1,0,1
56,0,3,24888.2,0,0,0,1,1,0,1
37,0,1,28021.6,0,0,1,0,1,1,1
27,0,0,12279.5,0,0,1,0,0,0,1
59,1,0,30189.4,1,0,1,0,1,1,1
31,0,0,28969.4,0,1,0,0,1,1,0
31,0,2,14058.5,1,0,0,0,1,1,1
32,1,3,30404.3,1,0,1,1,1,0,0
57,1,1,41438.2,0,3,0,1,0,0,0
49,1,0,16711.3,0,1,0,1,1,1,1
65,0,3,52255.9,0,2,1,1,1,0,1
22,1,0,17866.9,1,2,0,1,1,1,0
26,1,1,18067.5,1,2,0,1,0,0,0
23,0,0,12823.7,1,0,1,1,1,0,0
26,1,1,11299.3,1,2,1,0,0,0,0
59,1,0,56031.1,0,0,1,1,1,0,1
67,0,0,35263.5,1,1,1,1,1,0,1
34,1,0,19968.1,1,0,1,1,1,0,0
50,0,1,27825.5,1,2,1,1,0,0,0
46,0,2,37773.9,0,0,1,1,1,1,0
23,1,0,7606.25,0,3,1,0,0,0,0
26,0,1,21384.4,1,0,0,0,1,0,0
40,0,3,20347,1,3,0,1,1,0,0
36,0,3,21332.3,1,3,1,0,1,0,0
65,0,0,57671.7,0,0,0,1,1,1,0
45,1,3,36057.8,1,1,1,1,1,1,1
23,0,0,14290.5,1,2,0,0,1,1,0
42,1,3,17882.9,1,1,0,0,0,0,1
21,1,1,10629.1,0,3,0,1,1,1,0
62,1,0,24262.8,0,0,1,0,1,0,1
49,1,2,26097.9,0,2,0,1,1,0,0
28,1,3,23371,1,2,0,0,1,1,0
38,1,3,21495.6,0,3,0,0,1,1,0
36,0,3,12166.9,0,0,0,0,0,0,0
22,0,2,17180.2,1,0,0,1,1,0,0
40,1,3,28882.3,1,1,0,1,1,1,1
40,1,3,21612.2,1,0,0,0,1,0,0
60,1,0,46358.4,1,0,1,1,1,1,0
23,0,0,19166,0,0,1,1,0,0,1
21,0,0,17921.8,1,1,1,0,0,0,1
58,0,3,33229,0,0,1,1,1,0,1
48,1,2,30396.1,0,0,0,1,1,0,1
63,1,3,34625.2,1,0,1,0,1,0,0
20,0,3,16672.8,0,3,1,0,1,1,0
67,1,2,60747.5,0,2,0,1,1,1,1
62,1,0,56394.3,0,0,1,1,1,0,1
36,0,3,13236.4,1,0,0,1,1,0,0
31,0,0,28409.4,1,1,1,0,1,0,1
42,1,0,27056.5,1,0,1,1,1,0,0
18,0,1,9362.58,1,0,1,0,1,1,1
46,1,2,28702.7,0,1,0,1,1,1,1
25,0,3,22366.1,1,1,1,1,1,0,1
65,1,1,24477.5,0,0,0,1,0,1,0
40,0,3,36972.4,1,1,0,0,1,1,1
32,0,0,22327.8,1,1,0,0,0,0,1
18,1,0,15610.2,1,0,0,1,1,0,0
64,0,0,54314.5,1,1,1,1,0,0,1
43,1,0,39175.8,1,3,0,1,1,1,0
22,1,0,13739,1,3,0,1,1,0,0
25,0,3,9485.84,1,0,0,0,0,0,0
39,0,0,24675.7,1,1,1,1,1,1,1
58,1,0,28253.6,1,3,0,0,1,0,0
33,0,0,14136.5,1,1,0,1,0,0,0
52,1,1,37162.1,1,1,1,1,1,0,1
23,0,0,13519.2,0,0,0,1,1,0,1
44,1,0,39253.6,0,0,1,1,0,0,1
51,0,1,46323.8,1,2,1,1,1,1,1
26,1,3,20950.7,1,0,0,1,1,0,0
42,0,3,22495.7,1,0,0,1,0,1,0
34,0,3,32548.9,1,0,1,1,1,1,0
54,1,1,24583.4,0,2,1,1,1,1,0
18,0,1,8639.24,1,2,0,0,0,0,0
47,1,0,17139.5,0,2,1,0,1,0,0
24,1,0,13667.7,1,0,0,1,1,0,0
19,1,0,8162.42,1,1,1,1,1,1,0
37,1,3,15349.6,1,0,0,1,0,0,0
45,1,3,29231.4,1,0,0,1,0,0,0
49,0,1,41462.3,1,3,0,1,1,1,0
67,1,1,57398.1,0,3,0,1,1,0,1
35,1,1,11520.8,1,0,0,0,1,0,0
63,0,0,52117.3,0,2,1,1,1,0,1
38,0,1,26281.4,0,0,1,1,1,0,1
48,0,3,25683.4,0,2,1,1,1,0,0
28,1,0,11920.7,0,1,0,1,1,0,0
46,0,3,30658.7,1,0,0,1,1,0,0
66,0,0,36646.4,0,1,0,1,1,0,1
61,1,3,30760.4,0,2,1,0,1,0,1
18,1,1,16109.9,0,2,1,1,1,0,0
54,1,3,18036.7,1,0,1,1,0,0,0
45,0,1,42628.3,0,0,1,1,1,1,0
60,0,0,22110.1,0,2,1,1,1,0,0
45,1,3,37689.1,0,1,0,1,1,1,1
31,1,0,23171.8,0,2,0,1,0,0,0
39,0,2,21951.3,0,0,1,1,1,1,0
53,0,0,38103.4,0,2,1,1,1,0,1
35,0,1,22882.9,1,0,1,0,0,1,1
25,1,3,11043.7,1,1,1,1,0,1,0
32,0,3,24027.6,0,0,0,1,1,0,1
36,0,2,28495.1,1,0,0,1,1,0,0
24,1,3,9465.21,0,0,0,0,1,0,1
39,0,0,34852.3,1,1,0,1,0,1,1
24,0,0,21268.4,1,0,0,0,1,1,1
57,1,1,50849.2,0,1,0,1,0,1,1
27,1,3,18555.9,1,3,0,0,1,0,0
66,1,1,52769.9,1,3,1,1,1,0,1
18,1,0,11601.4,1,2,0,1,1,1,0
33,1,3,29541.7,1,0,0,1,0,0,0
48,0,2,17861,1,2,0,1,1,0,0
23,1,2,21042,1,1,0,0,1,0,1
44,0,3,26688.1,1,1,0,1,0,1,1
39,0,0,26900.6,1,2,0,0,0,1,0
65,0,0,38080.9,1,1,1,1,0,1,0
60,0,2,37554.1,1,2,1,1,1,1,1
20,0,0,18184.6,1,0,0,0,1,1,1
45,1,2,28864.9,1,0,0,1,1,0,0
66,0,1,48346.1,1,1,1,1,0,0,1
64,0,0,53104.3,1,0,1,1,1,0,0
51,1,0,19416.8,1,0,0,1,1,0,0
34,0,1,23638.1,1,2,1,1,1,0,0
65,1,3,42378.2,1,1,0,1,1,0,1
50,0,1,39745.3,1,0,1,1,0,1,0
66,1,0,45189.8,1,0,0,1,0,0,0
63,0,0,37930.9,1,0,0,1,0,1,0
53,1,0,24042,0,1,0,0,1,0,1
33,1,0,31207.1,0,0,1,0,1,1,1
38,0,3,24424.3,1,0,0,1,1,1,0
56,1,1,24607.8,0,1,0,1,1,1,0
48,0,3,43057,0,1,1,1,1,0,1
49,1,2,30198.5,1,0,1,0,1,1,1
54,1,1,50186.1,1,2,0,1,1,1,1
41,1,2,22916.1,1,0,0,0,1,0,0
19,0,1,9592.73,0,0,0,1,1,0,1
52,1,0,34253.6,0,3,1,0,1,0,0
52,1,0,22792.3,1,1,1,1,0,0,1
64,1,3,51620.8,0,2,1,1,1,0,1
56,0,3,19918.9,1,3,0,1,1,1,0
56,0,3,29625.1,1,2,0,0,1,0,0
19,1,3,12549,1,0,0,1,1,0,0
56,1,3,51299.3,1,1,1,1,0,0,1
27,0,0,17364.8,1,2,1,1,0,0,1
59,1,0,29866.9,0,1,1,0,1,0,1
56,0,0,47750.2,1,0,1,1,1,1,0
21,0,3,11281.5,1,0,0,1,1,1,0
64,0,0,34073.8,1,3,0,1,0,1,0
62,0,0,46870.4,1,0,0,1,1,0,0
44,1,0,38453.7,0,2,0,1,1,0,1
24,1,0,7756.36,0,0,0,0,0,0,1
52,1,0,28413.8,1,0,0,0,1,0,0
67,1,2,47198.6,1,2,0,1,1,0,1
41,0,0,20866.3,1,0,1,1,1,0,0
58,1,3,33204.3,0,1,0,0,0,1,1
40,0,0,24823.5,0,2,0,0,1,0,0
19,0,2,17986.8,1,0,0,0,1,1,1
20,1,0,9909.82,1,3,0,0,1,0,0
56,1,3,26542.8,0,0,1,1,1,0,1
46,1,0,32583.5,1,2,1,1,1,0,0
30,0,0,14606.6,1,1,0,0,1,0,0
40,1,3,34836.8,1,1,1,1,1,0,1
36,1,3,26920.8,1,0,0,0,1,0,0
57,1,0,38248.3,0,3,1,0,1,1,0
49,0,0,15689.1,0,0,0,0,1,0,0
61,0,0,30157.7,0,1,1,0,0,0,1
29,0,0,14642.2,0,0,1,0,1,0,1
48,1,0,15933.3,1,0,0,1,0,0,0
56,1,0,44288.3,1,0,0,1,1,0,0
40,0,3,22197.1,0,0,1,0,1,0,1
58,1,3,38248.3,1,3,1,1,0,0,0
60,1,0,22053.2,1,2,1,1,0,1,0
58,1,2,25468.5,0,0,1,0,0,1,1
67,1,3,23485.9,1,3,1,0,0,1,0
40,0,1,25768.6,1,0,1,1,0,0,0
48,0,0,34182.2,1,2,0,1,1,0,1
64,1,0,57444.5,0,1,0,1,1,0,1
43,0,3,38059.8,1,0,1,1,0,1,0
34,1,1,19481.3,0,0,0,0,1,1,1
26,0,1,19563.8,0,3,1,0,0,1,0
48,0,0,38598.4,1,0,1,0,1,0,0
35,0,0,20754.3,0,0,0,0,0,1,1
24,1,0,13864.6,1,3,0,1,1,0,1
47,0,2,36599,1,3,1,1,1,0,1
52,0,2,45856.1,0,1,0,1,1,0,1
31,0,2,22362.3,0,0,0,1,1,0,1
41,1,2,21984,1,1,1,0,0,0,1
23,0,2,11073,1,2,0,1,0,0,0
27,1,0,18158.5,0,1,1,0,1,1,1
22,0,0,7304.2,0,0,1,1,1,1,0
67,1,0,58092,0,2,1,1,1,0,1
26,1,0,16518.6,1,0,1,0,1,0,1
58,1,2,46461.5,1,0,0,1,1,0,0
27,0,1,20058.7,1,0,0,1,1,1,0
36,0,0,12533.2,0,1,0,1,0,1,0
31,0,1,22848.5,1,1,1,0,0,0,1
28,1,3,25699.4,1,2,1,1,0,0,1
57,0,3,21612.6,1,0,0,1,1,1,0
64,0,0,48950.9,1,0,1,1,1,1,0
49,0,0,41438,0,1,0,1,0,0,1
22,0,0,11411,1,1,1,0,1,0,0
58,1,0,43940.6,1,0,1,1,1,0,0
20,0,3,17239.5,0,1,1,0,1,0,1
44,1,1,30488.7,1,0,0,1,1,0,0
65,1,3,29866.3,1,3,0,1,0,0,0
53,1,0,32184.4,1,2,1,0,0,0,1
34,1,0,17308.7,1,1,1,0,1,1,1
35,0,1,27863.9,0,2,0,1,1,1,0
48,0,3,28920.6,1,0,0,1,0,1,0
64,1,3,58367.3,1,1,1,1,1,0,1
46,0,3,16849.3,0,0,1,1,1,1,0
42,1,1,28138.5,1,0,0,0,1,1,1
47,0,0,23038.2,1,0,1,1,0,0,0
23,0,3,11736.9,0,2,1,1,1,1,0
35,0,0,16479.5,1,0,1,0,0,1,1
64,1,0,31415.7,0,1,1,1,0,1,1
18,1,2,12117.3,1,1,0,0,1,0,0
19,0,0,15417.1,1,1,1,0,1,0,0
40,0,0,29414.6,1,1,0,1,0,1,1
47,0,0,44682.1,1,0,1,1,1,0,0
43,1,1,36281,1,0,1,1,1,0,0
38,0,3,33302.8,0,0,1,0,1,1,1
21,1,1,15797.1,1,0,0,1,1,0,1
40,0,1,31864.8,1,0,1,1,1,0,0
52,1,3,43719.5,1,0,0,1,1,0,0
35,1,3,30799.5,1,2,0,0,1,0,1
53,0,1,48971.6,1,3,1,1,0,0,1
38,1,1,34061.4,0,0,1,1,1,0,1
42,0,0,28938.6,1,3,1,0,0,0,0
43,0,3,38540,0,0,1,1,0,1,0
59,1,0,27045.1,0,0,0,0,1,0,1
59,1,1,51284.3,0,0,1,1,1,1,0
24,0,0,16352.2,0,0,0,1,1,1,0
27,1,0,11866.4,1,0,1,1,1,0,0
32,1,3,13267.6,1,0,1,1,1,1,0
65,1,0,61554.6,1,0,0,1,1,0,0
18,0,2,13700.2,0,1,0,1,1,0,0
66,0,3,46963.9,1,1,0,1,1,0,1
41,0,0,23475.6,1,0,1,0,1,1,1
64,1,2,24554.1,1,0,1,1,0,1,0
23,1,0,18050,1,0,1,0,1,1,1
29,1,1,15237.6,1,2,1,0,1,0,0
28,0,3,20555,0,0,1,1,1,0,1
57,1,3,28421.7,1,2,1,1,1,1,0
38,0,0,21876.5,1,0,0,0,1,0,0
34,1,2,12810.2,0,3,0,1,1,0,1
43,0,2,15109.4,1,0,0,0,1,0,1
63,0,3,37414.7,0,3,1,1,1,0,0
62,1,0,41521.6,1,0,0,1,1,1,0
51,1,0,25372.8,1,0,1,1,1,0,0
61,0,0,21139.8,1,2,1,1,0,0,0
41,1,3,27757.6,0,0,0,1,1,0,1
31,1,3,22678.1,0,1,1,1,1,1,1
33,1,3,12178.5,1,2,0,1,1,1,0
43,0,1,26106.7,0,1,0,0,1,0,1
40,0,0,27417.6,1,0,0,1,1,1,0
47,0,3,23337.2,1,2,0,1,1,1,0
46,0,3,43395.5,0,1,1,1,1,0,1
30,0,1,11536.2,1,2,0,0,1,1,0
47,0,0,44658.6,0,2,1,1,1,0,1
44,0,1,32762.5,0,0,0,1,1,1,0
23,0,1,16403.8,1,0,1,1,0,0,0
28,1,0,21184.7,1,1,1,1,1,0,1
64,1,0,49917.3,1,0,1,1,1,1,0
35,1,3,21623.8,1,0,0,1,0,1,0
19,0,1,16625.9,1,1,0,0,1,0,1
27,1,3,14014.5,1,3,0,1,0,0,0
27,0,0,20409.3,1,2,0,1,0,0,1
58,1,0,31671.3,1,1,1,1,0,1,1
46,1,3,17149.2,0,1,1,1,1,0,1
61,1,3,27756.3,1,0,1,1,0,1,1
59,0,0,40949.9,0,0,0,1,1,0,1
47,1,1,43743.2,1,3,0,1,1,0,0
44,0,0,38459.9,1,0,0,0,0,1,1
50,0,3,40972.9,0,2,1,1,1,1,1
64,0,0,46587.9,0,0,0,1,1,0,1
51,1,3,43799.6,0,0,0,1,1,1,0
46,1,3,18912.2,1,0,1,0,1,0,1
39,1,0,27765.8,1,3,1,1,0,0,0
58,1,0,33007.3,0,1,1,0,1,0,1
32,1,3,26325.3,1,0,1,0,0,0,0
22,1,0,15308.2,0,0,1,1,1,1,0
63,1,0,59805.6,1,1,1,1,1,0,1
35,1,3,28658.3,1,0,1,1,1,0,0
59,1,0,23175,1,0,0,0,0,1,1
22,1,2,11595.4,0,0,1,1,1,0,1
60,0,2,50409.9,0,2,0,1,1,1,1
23,1,1,11215.3,1,2,1,1,1,0,1
29,1,3,13327.8,1,0,0,1,0,0,0
44,0,0,16088.8,1,3,0,1,1,0,0
63,1,3,43943,1,0,1,1,1,1,0
25,1,1,14505.3,0,3,0,1,1,0,0
37,0,0,33886.4,0,0,1,1,0,0,1
48,1,0,16662.5,1,1,0,1,1,0,1
35,1,3,20262.6,0,0,0,1,0,0,1
51,0,3,33615.4,1,1,0,1,0,1,1
27,1,3,22007.1,0,3,0,0,1,0,0
56,1,0,28981.1,1,3,1,1,1,1,0
38,1,0,12163.9,1,2,1,0,1,0,1
36,1,3,17247.7,1,2,1,1,1,0,0
27,0,2,12683.6,0,3,0,1,1,1,0
34,1,3,16291,1,0,1,1,0,1,0
44,0,2,18707.3,1,0,1,1,1,1,1
43,1,0,19326.9,1,1,0,0,1,0,1
32,0,0,14511.8,0,2,0,1,0,1,0
21,1,3,10672,0,1,0,1,1,1,0
30,1,0,25830.5,1,2,0,0,1,0,0
55,0,1,43499.5,1,1,1,1,1,0,0
64,0,2,59175.1,1,1,0,1,1,0,1
36,1,0,27642.9,0,1,1,0,0,0,1
59,0,0,30067.5,0,1,0,1,1,0,1
60,0,0,29714.4,1,0,1,0,1,1,1
27,1,3,13950.4,0,1,1,1,1,1,0
29,0,0,10072.6,1,0,0,0,1,0,0
53,1,0,37850.6,0,1,0,1,1,0,1
61,1,1,57176.4,0,2,0,1,1,0,1
43,1,0,38784,1,0,0,1,1,0,0
19,0,0,10191.8,1,0,0,1,1,1,1
48,1,0,21821.4,1,1,1,1,0,1,1
39,0,1,37389,1,2,0,1,1,0,1
32,0,0,14627.9,1,2,1,1,1,0,0
63,0,2,48770.5,1,1,1,1,0,1,1
46,0,1,21096.2,1,1,1,1,1,0,1
40,0,0,36256.9,0,0,0,0,1,1,1
27,1,0,15281.8,0,0,1,0,0,1,1
22,0,2,9316.98,1,2,1,1,1,0,0
42,0,1,20736.2,1,1,1,1,1,0,1
58,1,3,52662.5,1,1,1,1,1,1,1
23,1,0,8020.19,1,1,1,0,1,0,0
58,0,2,32245.4,1,3,0,0,0,0,0
45,0,0,41107.2,1,2,1,1,1,0,0
49,1,2,39358.3,1,0,1,0,0,1,0
67,1,0,36095.9,1,3,1,1,1,0,0
20,1,3,7723.93,1,2,1,1,1,0,0
43,1,1,18565.8,1,1,1,1,1,1,1
41,0,1,25132.9,1,0,0,0,1,0,0
38,1,2,31290.6,1,0,0,1,1,0,0
67,1,2,24858.4,1,0,0,0,1,1,1
40,0,0,16398.8,0,1,0,1,1,0,1
